,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj
307,Trevor Moore,15.687448559671,0.8,1.46,70.59,9.54,8.42,1.25,16.1,9.25,5.29,3.26,1.51,16.988418079096,0.6,1.14,51.79,9.76,6.13,1.03,15.8,8.14,4.49,3.59,1.38,0.7988434019135785
308,Zack MacEwen,9.6633333333333,0.25,0.5,45.0,6.79,3.66,0.7,12.0,5.88,2.9,13.16,2.65,11.574107142857,0.37,0.56,58.82,6.76,5.48,0.69,12.68,7.5,3.98,13.89,2.68,0.5362112188825957
309,Zach Aston-Reese,13.037439613527,0.33,0.67,48.39,5.2,6.41,0.53,8.67,4.54,2.6,15.41,2.8,10.927705627706,0.71,0.29,66.67,6.35,11.24,0.7,11.91,7.84,4.56,11.62,3.07,0.6253970291317662
310,Kailer Yamamoto,16.870987654321,0.88,0.92,56.94,5.01,17.54,0.79,8.25,6.63,4.04,5.01,1.58,16.57816091954,0.62,0.94,53.19,6.05,10.31,0.87,8.61,7.11,4.56,4.8,1.5,0.728247047829576
311,Morgan Geekie,12.632648401826,0.46,0.98,64.71,6.31,7.22,0.63,12.3,7.03,2.6,3.58,1.5,10.455072463768,0.75,1.58,62.22,6.74,11.11,0.69,10.9,6.24,3.41,4.41,2.74,0.7332285401456441
312,Michael Rasmussen,14.516041666667,0.78,0.62,58.7,6.67,11.63,0.8,10.08,7.29,4.55,7.34,3.36,15.097619047619,0.71,1.35,67.44,6.25,11.36,0.92,10.65,7.95,4.83,8.45,3.41,0.772053377497078
313,Casey Mittelstadt,16.120416666667,0.56,1.21,59.38,7.35,7.59,0.63,11.17,6.05,2.51,1.77,1.12,15.72825203252,0.7,2.05,69.41,6.28,11.11,0.66,10.61,6.79,2.56,1.4,0.74,0.7896202378279685
314,Nico Hischier,19.344047619048,0.93,1.73,72.29,6.78,13.73,0.84,11.96,8.37,3.99,2.22,2.13,19.289300411523,1.19,1.88,62.99,9.87,12.06,1.39,16.05,11.14,6.18,1.31,2.34,1.119918500893042
315,Jesper Boqvist,13.129166666667,0.82,1.06,76.67,6.04,13.51,0.62,11.02,5.96,2.86,2.53,1.31,11.605714285714,0.74,0.81,63.64,4.95,14.93,0.61,9.97,6.57,3.47,3.69,1.48,0.7250251986203728
316,Eeli Tolvanen,13.427777777778,0.66,0.71,45.1,9.0,7.28,0.76,15.85,8.16,2.44,10.49,2.68,14.516393442623,1.22,0.88,55.36,7.86,15.52,0.7,14.77,6.57,2.51,6.17,3.46,0.9181848915705152
317,Elias Pettersson,18.593125,1.29,1.45,65.38,7.74,16.67,0.89,15.61,9.2,3.31,1.98,1.73,20.554791666667,1.42,2.3,75.0,9.38,15.18,1.09,17.84,10.07,3.69,2.7,3.25,1.3247155746105532
318,Owen Tippett,13.422751322751,0.71,0.78,45.65,8.94,7.94,0.92,15.11,8.16,3.48,6.95,1.14,17.427272727273,1.21,0.98,61.25,10.33,11.69,1.01,18.51,9.66,3.98,5.59,3.09,1.0137313474162997
319,Nick Suzuki,20.510162601626,0.75,1.43,67.78,6.64,11.29,0.67,11.02,6.31,2.46,3.18,2.21,21.095528455285,0.9,1.39,64.08,5.62,16.05,0.61,10.2,5.62,2.46,1.73,1.94,0.8174825023027467
320,Robert Thomas,18.776851851852,0.89,2.53,68.75,5.1,17.39,0.71,8.48,6.88,3.33,0.58,1.11,19.343378995434,0.76,2.0,61.32,4.5,16.98,0.53,7.44,5.06,2.21,0.64,1.23,0.9101077772197518
321,Jason Robertson,18.111261261261,1.84,1.7,69.3,9.85,18.64,1.18,17.91,10.88,4.97,2.24,1.07,18.838821138211,1.79,2.45,76.22,12.16,14.7,1.28,21.94,11.92,4.16,2.21,0.74,1.5943429881399651
322,Morgan Frost,13.922424242424,0.39,0.86,57.14,6.66,5.88,0.64,11.91,6.58,2.74,3.45,2.27,16.343004115226,0.86,1.22,68.66,7.03,12.26,0.81,12.55,8.16,4.12,3.85,2.4,0.7928550661596617
324,Max Comtois,14.135256410256,0.49,0.82,48.48,5.88,8.33,0.68,10.61,6.37,2.86,9.06,1.39,13.810416666667,0.61,0.68,51.35,6.04,10.11,0.63,9.5,5.91,3.53,5.5,1.83,0.6213895391604954
325,Martin Necas,16.179487179487,0.67,1.24,64.52,7.56,8.81,0.68,14.03,6.66,2.28,2.61,0.9,18.412195121951,1.11,1.71,65.14,9.54,11.67,0.95,17.41,9.62,3.26,2.27,0.83,0.9924206218733839
327,Ryan Poehling,12.195321637427,0.78,0.69,70.83,7.85,9.89,0.83,11.83,7.51,4.14,3.45,2.42,11.770754716981,0.67,0.67,70.0,6.16,10.94,0.8,10.58,6.64,3.75,5.48,3.94,0.6915000793666853
328,Filip Chytil,13.175124378109,0.54,0.95,61.11,9.18,5.93,0.98,15.7,10.54,4.96,1.63,1.84,14.683783783784,1.21,1.27,67.16,9.77,12.43,1.11,17.23,11.1,4.86,1.99,2.1,1.0813162959217513
329,Alex Iafallo,18.502742616034,0.7,0.82,52.11,8.83,7.91,0.94,14.16,8.66,4.1,1.97,2.18,16.3,0.87,1.37,63.16,8.3,10.53,0.86,13.6,7.8,4.3,1.68,2.06,0.8793639176256275
330,David Kampf,15.265040650407,0.53,0.72,48.15,4.89,10.78,0.59,8.05,5.22,2.35,3.83,1.25,15.307520325203,0.33,0.96,60.0,5.11,6.54,0.62,8.17,5.4,2.87,3.54,1.39,0.5374287093506117
331,Eetu Luostarinen,13.430982905983,0.52,0.97,63.41,4.81,10.71,0.56,8.76,5.78,2.98,5.9,2.63,15.985772357724,0.78,1.19,61.43,6.04,12.88,0.81,11.17,8.7,4.58,2.93,2.33,0.7657207106506523
332,Drake Batherson,18.928623188406,1.17,1.86,68.75,7.65,15.32,0.84,13.02,8.27,3.51,6.13,1.03,18.606097560976,0.87,1.57,62.63,9.79,8.84,1.34,17.42,11.52,5.23,4.52,1.38,1.0828161984242177
334,Pius Suter,16.922967479675,0.65,0.91,66.67,7.18,9.04,0.89,11.54,8.17,3.68,1.04,1.6,14.061814345992,0.76,0.54,64.86,5.73,13.21,0.66,9.61,6.05,3.19,2.11,2.0,0.7418962214257414
335,Eric Robinson,13.892039800995,0.64,1.1,77.14,6.7,9.62,0.72,12.05,6.45,3.35,6.12,1.29,13.947916666667,0.72,0.72,88.89,5.91,12.12,0.7,11.35,6.45,3.41,7.41,1.91,0.7370800813554558
337,Joel Farabee,17.587037037037,0.92,0.92,61.82,6.44,14.29,0.71,11.26,5.85,2.87,3.95,2.06,17.010772357724,0.65,1.03,50.65,6.24,10.34,0.61,11.1,6.41,2.8,3.05,1.94,0.7110608413981904
